Locality,casesAll,casesUVA,casesVCU,shareUVA,shareVCU
ShenandoahCounty,5386,325,27,6.034162644,0.501299666
SmythCounty,3392,71,12,2.093160377,0.353773585
SouthamptonCounty,1788,4,151,0.223713647,8.445190157
SpotsylvaniaCounty,14078,234,671,1.662167922,4.766302032
StaffordCounty,13108,115,536,0.877326823,4.08910589
Stauntoncity,4737,763,51,16.10724087,1.076630779
Suffolkcity,10104,37,93,0.366191607,0.920427553
SurryCounty,751,2,45,0.266311585,5.992010652
SussexCounty,1460,0,241,0,16.50684932
TazewellCounty,3612,126,10,3.488372093,0.276854928
VirginiaBeachcity,43562,93,228,0.213488821,0.523391947
WarrenCounty,4752,134,15,2.81986532,0.315656566
WashingtonCounty,3747,103,15,2.748865759,0.400320256
Waynesborocity,3921,918,49,23.4123948,1.249681204
WestmorelandCounty,2309,23,233,0.996102209,10.09094846
Williamsburgcity,112,0,7,0,6.25
Winchestercity,3473,83,8,2.38986467,0.230348402
WiseCounty,3046,72,8,2.363755745,0.262639527
WytheCounty,4040,58,12,1.435643564,0.297029703
YorkCounty,4254,20,132,0.470145745,3.102961918
