Locality,casesAll,casesUVA,casesVCU,shareUVA,shareVCU
SurryCounty,36,0,0,0,0
SussexCounty,87,0,10,0,11.49425287
TazewellCounty,478,2,0,0.418410042,0
VirginiaBeachcity,2099,4,10,0.190566937,0.476417342
WarrenCounty,367,5,1,1.36239782,0.272479564
WashingtonCounty,351,8,0,2.279202279,0
Waynesborocity,227,14,1,6.167400881,0.440528634
WestmorelandCounty,174,2,12,1.149425287,6.896551724
Williamsburgcity,9,0,0,0,0
Winchestercity,235,2,1,0.85106383,0.425531915
WiseCounty,270,2,0,0.740740741,0
WytheCounty,224,2,0,0.892857143,0
YorkCounty,177,1,1,0.564971751,0.564971751
