county,district,areaSqMile, population,altCounty
Spotsylvania,Rappahannock,401.5,126200,Spotsylvania County
Stafford,Rappahannock,268.96,134672,Stafford County
Staunton city,Central Shenandoah,19.98,24132,Stauntoncity
Suffolk city,Western Tidewater,400.17,85477,Suffolkcity
Surry,Crater,278.95,6885,Surry County
Sussex,Crater,490.22,11923,Sussex County
Tazewell,Cumberland Plateau,518.85,44331,Tazewell County
Virginia Beach city,Virginia Beach,249.02,445623,VirginiaBeachcity
Warren,Lord Fairfax,213.47,38142,Warren County
Washington,Mount Rogers,560.97,54833,Washington County
Waynesboro city,Central Shenandoah,15.04,21177,Waynesborocity
Westmoreland,Three Rivers,229.37,17518,Westmoreland County
Williamsburg city,Peninsula,9.02,14401,Williamsburgcity
Winchester city,Lord Fairfax,9.23,27031,Winchestercity
Wise,Lenowisco,403.19,40872,Wise County
Wythe,Mount Rogers,461.82,29259,Wythe County
York,Peninsula,104.78,65808,York County
