fips,county,district,areaSqMile,population,locality
51147,Prince Edward,Piedmont,349.96,23140,PrinceEdwardCounty
51149,Prince George,Crater,336.4,38353,PrinceGeorgeCounty
51153,Prince William,Prince William,265.16,470335,PrinceWilliamCounty
51155,Pulaski,New River,319.86,34630,PulaskiCounty
51750,Radford city,New River,9.87,16993,Radfordcity
51157,Rappahannock,Rappahannock Rapidan,266.23,7446,RappahannockCounty
51159,Richmond,Three Rivers,191.49,9072,RichmondCounty
51760,Richmond city,Richmond,59.81,211063,Richmondcity
51161,Roanoke,Alleghany,250.52,93194,RoanokeCounty
51770,Roanoke city,Roanoke,42.56,97949,Roanokecity
51163,Rockbridge,Central Shenandoah,597.56,22367,RockbridgeCounty
51165,Rockingham,Central Shenandoah,849.08,77345,RockinghamCounty
51167,Russell,Cumberland Plateau,473.82,28444,RussellCounty
51775,Salem city,Alleghany,14.44,25120,Salemcity
51169,Scott,Lenowisco,535.53,22781,ScottCounty
51171,Shenandoah,Lord Fairfax,508.78,42545,ShenandoahCounty
51173,Smyth,Mount Rogers,450.93,31876,SmythCounty
51175,Southampton,Western Tidewater,599.14,18364,SouthamptonCounty
51177,Spotsylvania,Rappahannock,401.5,126200,SpotsylvaniaCounty
51179,Stafford,Rappahannock,268.96,134672,StaffordCounty
51790,Staunton city,Central Shenandoah,19.98,24132,Stauntoncity
51800,Suffolk city,Western Tidewater,400.17,85477,Suffolkcity
51181,Surry,Crater,278.95,6885,SurryCounty
51183,Sussex,Crater,490.22,11923,SussexCounty
51185,Tazewell,Cumberland Plateau,518.85,44331,TazewellCounty
51810,Virginia Beach city,Virginia Beach,249.02,445623,VirginiaBeachcity
51187,Warren,Lord Fairfax,213.47,38142,WarrenCounty
51191,Washington,Mount Rogers,560.97,54833,WashingtonCounty
51820,Waynesboro city,Central Shenandoah,15.04,21177,Waynesborocity
51193,Westmoreland,Three Rivers,229.37,17518,WestmorelandCounty
51830,Williamsburg city,Peninsula,9.02,14401,Williamsburgcity
51840,Winchester city,Lord Fairfax,9.23,27031,Winchestercity
51195,Wise,Lenowisco,403.19,40872,WiseCounty
51197,Wythe,Mount Rogers,461.82,29259,WytheCounty
51199,York,Peninsula,104.78,65808,YorkCounty
